nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
México,126014024,1964375,América
Estados Unidos,331893745,9833517,América
Canadá,38008005,9984670,América
Chile,19116209,756096,América
Colombia,50882884,1141748,América
Perú,32971846,1285216,América
Venezuela,28435943,916445,América
Uruguay,3473727,176215,América
Japón,125800000,377975,Asia
China,1411778724,9596961,Asia
India,1393409038,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523621,1904569,Asia
Arabia Saudita,35923400,2149690,Asia
Irán,85028760,1648195,Asia
Tailandia,69950800,513120,Asia
Filipinas,109581085,300000,Asia
Vietnam,98168829,331210,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
Italia,60367477,301340,Europa
España,47351567,505990,Europa
Reino Unido,67215293,243610,Europa
Países Bajos,17533405,41543,Europa
Suecia,10353442,450295,Europa
Noruega,5421241,385207,Europa
Polonia,38386000,312696,Europa
Suiza,8636900,41285,Europa
Australia,25788215,7692024,Oceanía
Nueva Zelanda,5084300,268838,Oceanía
Fiyi,896445,18274,Oceanía
Papúa Nueva Guinea,8947027,462840,Oceanía
Samoa,222382,2842,Oceanía
Vanuatu,307150,12189,Oceanía
Tonga,105697,747,Oceanía
Islas Salomón,703995,28896,Oceanía
Micronesia,116255,702,Oceanía
Palaos,18092,459,Oceanía
Sudáfrica,60041996,1219090,África
Egipto,109262178,1002450,África
Nigeria,206139589,923768,África
Etiopía,120812698,1104300,África
Kenia,53771300,580367,África
Ghana,31072940,238533,África
Marruecos,36910560,446550,África
Argelia,44700000,2381741,África
Túnez,11818618,163610,África
Angola,33933611,1246700,África
